id,paperid,quesno,score,answer,answerHas
354,7,14,0,B,2
355,7,15,0,A,1
356,7,16,0,C,4
357,7,17,0,B,2
358,7,18,0,A,1
359,7,19,0,B,2
360,7,20,0,C,4
361,7,21,0,C,4
362,7,22,0,B,2
363,7,23,0,C,4
364,7,24,0,A,1
365,7,26,0,D,8
366,7,27,0,C,4
367,7,28,0,A,1
368,7,29,0,B,2
369,7,30,0,D,8
370,7,31,0,C,4
371,7,32,0,A,1
372,7,33,0,B,2
373,7,34,0,D,8
374,7,35,0,B,2
375,7,36,0,F,32
376,7,37,0,A,1
377,7,38,0,C,4
378,7,39,0,G,64
379,7,40,0,E,16
380,7,41,0,D,8
381,7,42,0,B,2
382,7,43,0,A,1
383,7,44,0,C,4
384,7,45,0,A,1
385,7,46,0,D,8
386,7,47,0,D,8
387,7,48,0,C,4
388,7,49,0,A,1
389,7,50,0,B,2
390,7,51,0,C,4
391,7,52,0,D,8
392,7,53,0,A,1
393,7,54,0,C,4
394,7,55,0,B,2
395,7,56,0,D,8
396,7,57,0,C,4
397,7,58,0,B,2
398,7,60,0,D,8
399,8,1,0,A,1
400,8,2,0,B,2
401,8,3,0,B,2
402,8,4,0,A,1
403,8,5,0,A,1
404,8,6,0,A,1
405,8,7,0,C,4
406,8,8,0,C,4
407,8,9,0,B,2
408,8,10,0,A,1
409,8,11,0,A,1
410,8,12,0,C,4
411,8,13,0,B,2
412,8,14,0,B,2
413,8,15,0,A,1
414,8,17,0,B,2
415,8,18,0,A,1
416,8,20,0,C,4
417,8,21,0,A,1
418,8,22,0,D,8
419,8,23,0,C,4
420,8,24,0,D,8
421,8,26,0,B,2
422,8,27,0,B,2
423,8,28,0,A,1
424,8,29,0,B,2
425,8,30,0,D,8
426,8,32,0,D,8
427,8,33,0,A,1
428,8,34,0,D,8
429,8,35,0,D,8
430,8,36,0,B,2
431,8,37,0,C,4
432,8,38,0,B,2
433,8,39,0,F,32
434,8,40,0,D,8
435,8,41,0,D,8
436,8,42,0,C,4
437,8,43,0,B,2
438,8,44,0,D,8
439,8,45,0,B,2
440,8,46,0,A,1
441,8,48,0,C,4
442,8,49,0,A,1
443,8,51,0,B,2
444,8,52,0,D,8
445,8,54,0,B,2
446,8,55,0,A,1
447,8,56,0,C,4
448,8,58,0,C,4
449,8,60,0,C,4
450,9,1,0,B,2
451,9,2,0,A,1
452,9,3,0,A,1
453,9,4,0,A,1
454,9,5,0,B,2
455,9,6,0,A,1
456,9,7,0,B,2
457,9,8,0,C,4
458,9,9,0,B,2
459,9,10,0,B,2
460,9,11,0,A,1
461,9,12,0,C,4
462,9,13,0,B,2
463,9,14,0,B,2
464,9,15,0,A,1
465,9,16,0,C,4
466,9,17,0,C,4
467,9,18,0,A,1
468,9,19,0,A,1
469,9,20,0,B,2
470,9,21,0,D,8
471,9,22,0,B,2
472,9,23,0,C,4
473,9,24,0,C,4
474,9,25,0,B,2
475,9,26,0,D,8
476,9,27,0,B,2
477,9,28,0,A,1
478,9,29,0,B,2
479,9,30,0,C,4
480,9,31,0,D,8
481,9,32,0,B,2
482,9,33,0,D,8
483,9,34,0,B,2
484,9,35,0,D,8
485,9,36,0,G,64
486,9,37,0,C,4
487,9,38,0,B,2
488,9,39,0,F,32
489,9,40,0,E,16
490,9,41,0,D,8
491,9,42,0,A,1
492,9,43,0,D,8
493,9,45,0,D,8
494,9,46,0,D,8
495,9,47,0,B,2
496,9,48,0,C,4
497,9,49,0,D,8
498,9,50,0,B,2
499,9,51,0,D,8
500,9,52,0,B,2
501,9,53,0,A,1
502,9,54,0,C,4
503,9,55,0,B,2
504,9,56,0,C,4
505,9,57,0,B,2
506,9,58,0,B,2
507,9,59,0,D,8
508,9,60,0,C,4
509,10,1,0,B,2
510,10,2,0,B,2
511,10,3,0,C,4
512,10,4,0,A,1
513,10,5,0,B,2
514,10,6,0,A,1
515,10,7,0,B,2
516,10,8,0,C,4
517,10,9,0,B,2
518,10,10,0,B,2
519,10,11,0,A,1
520,10,12,0,C,4
521,10,13,0,B,2
522,10,14,0,B,2
523,10,15,0,C,4
524,10,16,0,C,4
525,10,17,0,B,2
526,10,18,0,A,1
527,10,19,0,C,4
528,10,20,0,B,2
529,10,21,0,A,1
530,10,22,0,C,4
531,10,23,0,C,4
532,10,24,0,A,1
533,10,25,0,B,2
534,10,26,0,A,1
535,10,27,0,D,8
536,10,28,0,A,1
537,10,30,0,C,4
538,10,31,0,D,8
539,10,32,0,D,8
540,10,33,0,A,1
541,10,34,0,B,2
542,10,35,0,D,8
543,10,36,0,A,1
544,10,37,0,C,4
545,10,38,0,F,32
546,10,39,0,B,2
547,10,40,0,E,16
548,10,41,0,D,8
549,10,42,0,A,1
550,10,43,0,B,2
551,10,44,0,C,4
552,10,45,0,D,8
553,10,46,0,D,8
554,10,47,0,B,2
555,10,48,0,C,4
556,10,49,0,D,8
